First Author (last),First Author (first),et al.,Modern Location,Modern Latitude,Modern Longitude,Paleo-Latitude,Paleo-Longitude,Numerical Age,Period,Epoch,Age,Formation,Host Litho,Year,DOI,Title,Citation (MLA 9),Note
Searl,Alison,-,"Cwar yr Hendre, South Wales, UK",51.832427,-3.257442,,,358.9-323.2,Carboniferous,Early,-,Blaen Onneu,Oolite Group,1988,10.1016/0037-0738(88)90025-5,"The limitations of ""cement stratigraphy"" as revealed in some Lower Carboniferous oolites from South Wales","Searl, Alison. “The Limitations of ‘Cement Stratigraphy’ as Revealed in Some Lower Carboniferous Oolites from South Wales.” Sedimentary Geology, vol. 57, no. 3–4, June 1988, pp. 171–83. DOI.org (Crossref), https://doi.org/10.1016/0037-0738(88)90025-5.",
Semeniuk,V,-,"Molong, NSW, Australia",-33.475647,148.795852,,,456-452,Ordovician,Late,Sandbian,Davys Plains Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
Semeniuk,V,-,"Molong, NSW, Australia",-33.475647,148.795852,,,461-450,Ordovician,Late,Sandbian-Katian,Glenrae Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
Semeniuk,V,-,"Molong, NSW, Australia",-33.475647,148.795852,,,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
Semeniuk,V,-,"Molong, NSW, Australia",-33.391986,148.95996,,,461-450,Ordovician,Late,Sandbian-Katian,Glenrae Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
Semeniuk,V,-,"Molong, NSW, Australia",-33.391986,148.95996,,,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
Semeniuk,V,-,"Molong, NSW, Australia",-33.448724,148.865889,,,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
Semeniuk,V,-,"Molong, NSW, Australia",-33.46591,148.816451,,,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
Semeniuk,V,"Percival, I.G.; Brocx, M.","Cliefden Caves, NSW, Australia",-33.584565,148.893371,,,456-450,Ordovician,Late,Sandbian-Katian,Fossil Hill Limestone,Bowan Park Subgroup,2019,10.1080/08120099.2019.1577297,"Subaerial disconformities, microkarst and paleosols in Ordovician limestones at Bowan Park and Cliefden Caves, New South Wales, and their geoheritage significance","Semeniuk, V., et al. “Subaerial Disconformities, Microkarst and Paleosols in Ordovician Limestones at Bowan Park and Cliefden Caves, New South Wales, and Their Geoheritage Significance.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 891–906. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1577297.",
Semeniuk,V,"Percival, I.G.; Brocx, M.","Cudal, NSW, Australia",-33.448724,148.865889,,,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Subgroup,2019,10.1080/08120099.2019.1577297,"Subaerial disconformities, microkarst and paleosols in Ordovician limestones at Bowan Park and Cliefden Caves, New South Wales, and their geoheritage significance","Semeniuk, V., et al. “Subaerial Disconformities, Microkarst and Paleosols in Ordovician Limestones at Bowan Park and Cliefden Caves, New South Wales, and Their Geoheritage Significance.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 891–906. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1577297.",
Shang,Junxin,"Feng, Mingyou; Wang, Xingzhi; Zhang, Benjian; Xu, Liang; Liu, Xiaohong","Wulong Town, Sichuan China",30.405644,102.767384,,,290.1-264.28,Permian,Middle,-,Qixia Formation,Sichuan Basin,2023,10.1038/s41598-023-40334-y,"Alteration effects of karstification and hydrothermalism on middle Permian Qixia formation at the Wulong section, South China","Shang, Junxin, et al. “Alteration Effects of Karstification and Hydrothermalism on Middle Permian Qixia Formation at the Wulong Section, South China.” Scientific Reports, vol. 13, no. 1, Aug. 2023, p. 13128. www.nature.com, https://doi.org/10.1038/s41598-023-40334-y.",
Soreghan,Gerilyn S.,"Engel, Michael H.; Furley, Roger A.; Giles, Katherine A.","Hembrillo Canyon, New Mexico, USA",33.014491,-106.616351,,,303.4-299,Carboniferous,Late,Virgilian,Panther Seep Formation,Orogrande Basin,2000,10.1306/032100701315,"Glacioeustatic Transgressive Reflux: Stratiform Dolomite in Pennsylvanian Bioherms of the Western Orogrande Basin, New Mexico","Soreghan, Gerilyn S., et al. “Glacioeustatic Transgressive Reflux: Stratiform Dolomite in Pennsylvanian Bioherms of the Western Orogrande Basin, New Mexico.” Journal of Sedimentary Research, vol. 70, no. 6, Nov. 2000, pp. 1315–32. DOI.org (Crossref), https://doi.org/10.1306/032100701315.",
Spalluto,Luigi,-,"Borgo Celano village, Italy",41.685806,15.65946,,,,Cretaceous,Early,-,Gargano Promontory,Apulian Foreland,2008,-,"Sedimentology and high-resolution sequence stratigraphy of a lower Cretaceous shallow-water carbonate succession from the Western Gargano Promontory (Apulia, Southern Italy)","Spalluto, Luigi. “Sedimentology and High-Resolution Sequence Stratigraphy of a Lower Cretaceous Shallow-Water Carbonate Succession from the Western Gargano Promontory (Apulia, Southern Italy).” GeoActa, vol. Special Publication, no. 1, 2008, pp. 173–91. Scopus.",
Spalluto,Luigi,-,"Bari, Italy",41.126861,16.83208,,,,Cretaceous,Middle,Albian-Cenomanian,Calcare di bari fm,Apulia Carbonate Platform,2012,10.1007/s10347-011-0266-0,"Facies evolution and sequence chronostratigraphy of a “mid”-Cretaceous shallow-water carbonate succession of the Apulia Carbonate Platform from the northern Murge area (Apulia, southern Italy)","Spalluto, Luigi. “Facies Evolution and Sequence Chronostratigraphy of a ‘Mid’-Cretaceous Shallow-Water Carbonate Succession of the Apulia Carbonate Platform from the Northern Murge Area (Apulia, Southern Italy).” Facies, vol. 58, no. 1, 2012, pp. 17–36. Springer Link, https://doi.org/10.1007/s10347-011-0266-0.",
Spalluto,Luigi,"Petruzzelli, Marco; Sabato, Luisa; Tropeano, Marcello","Giovinazzo, Italy",41.189131,16.660431,,,,Cretaceous,Middle,Albian-Cenomanian,Calcare di bari fm,Apulia Carbonate Platform,2025,10.1002/dep2.305,"Cretaceous cyclic peritidal carbonates of the Apulia Carbonate Platform (Apulia, southern Italy) in a hierarchical sequence-stratigraphic perspective: A case study from the Murge area (the Giovinazzo sea-cliff section)","Spalluto, Luigi, et al. “Cretaceous Cyclic Peritidal Carbonates of the Apulia Carbonate Platform (Apulia, Southern Italy) in a Hierarchical Sequence-Stratigraphic Perspective: A Case Study from the Murge Area (the Giovinazzo Sea-Cliff Section).” The Depositional Record, vol. 11, no. 1, 2025, pp. 328–53. Wiley Online Library, https://doi.org/10.1002/dep2.305.",
Steinhauff,D. Mark,"Walker, Kenneth R.","Thorn Hill, TN, USA",36.354772,-83.418325,,,,Ordovician,Middle,-,-,Southern Appalachians,1995,10.1306/D4268211-2B26-11D7-8648000102C1865D,"Recognizing exposure, drowning, and ""missed beats""; platform-interior to platform-margin sequence stratigraphy of Middle Ordovician limestones, East Tennessee","Steinhauff, D. Mark, and Kenneth R. Walker. “Recognizing Exposure, Drowning, and ‘Missed Beats’; Platform-Interior to Platform-Margin Sequence Stratigraphy of Middle Ordovician Limestones, East Tennessee.” Journal of Sedimentary Research, vol. 65, no. 2b, May 1995, pp. 183–207. DOI.org (Crossref), https://doi.org/10.1306/D4268211-2B26-11D7-8648000102C1865D.",
Steinhauff,D. Mark,"Walker, Kenneth R.","Thorn Hill, TN, USA",36.355065,-83.439445,,,,Ordovician,Middle,-,Rockdell Fmt,Southern Appalachians,1996,10.1130/0-8137-2306-X.87,"Sequence stratigraphy of an apparently noncyclic carbonate succession: Recognizing subaerial exposure in a largely subtidal, Middle Ordovician stratigraphic sequence in eastern Tennessee","Steinhauff, D. Mark, and Kenneth R. Walker. “Sequence Stratigraphy of an Apparently Noncyclic Carbonate Succession: Recognizing Subaerial Exposure in a Largely Subtidal, Middle Ordovician Stratigraphic Sequence in Eastern Tennessee.” Special Paper of the Geological Society of America, vol. 306, 1996, pp. 87–115. Scopus, Scopus, https://doi.org/10.1130/0-8137-2306-X.87.",
Su,Chengpeng,"Tan, Xiucheng; Shi, Kailan; Lu, Feifan; Luo, Sicong; Tang, Hao; Zhang, Xinyu","Chongqing, China",29.688855,106.464806,,,201.3-174.1,Jurassic,Early,-,Da'anzhai member,Sichuan Basin,2017,10.1016/j.petlm.2016.12.006,"Characteristics and significance of the penecontemporaneous karst in lacustrine carbonate, Da'anzhai Member, Lower Jurassic, Beibei area, eastern Sichuan Basin","Su, Chengpeng, et al. “Characteristics and Significance of the Penecontemporaneous Karst in Lacustrine Carbonate, Da’anzhai Member, Lower Jurassic, Beibei Area, Eastern Sichuan Basin.” Petroleum, vol. 3, no. 3, Sept. 2017, pp. 292–300. ScienceDirect, https://doi.org/10.1016/j.petlm.2016.12.006.",
Sulli,A,"Interbartolo, F","Maranfusa Mt., Sicily, Italy",37.830796,13.155691,,,13.82-9,Neogene,Miocene,Serravallian-Lower Tortonian,Marne di S. Cipirello,Monte Maranfusa Succession,2016,10.1016/j.sedgeo.2015.10.013,Subaerial exposure and drowning processes in a carbonate platform during the Mesozoic Tethyan rifting: The case of the Jurassic succession of Western Sicily (central Mediterranean),"Sulli, A., and F. Interbartolo. “Subaerial Exposure and Drowning Processes in a Carbonate Platform during the Mesozoic Tethyan Rifting: The Case of the Jurassic Succession of Western Sicily (Central Mediterranean).” Sedimentary Geology, vol. 331, Jan. 2016, pp. 63–77. DOI.org (Crossref), https://doi.org/10.1016/j.sedgeo.2015.10.013.",
Sulli,A,"Interbartolo, F","Maranfusa Mt., Sicily, Italy",37.830796,13.155691,,,,Jurassic,Early,Hettangian-Sinemurian,Inici,Monte Maranfusa Succession,2016,10.1016/j.sedgeo.2015.10.013,Subaerial exposure and drowning processes in a carbonate platform during the Mesozoic Tethyan rifting: The case of the Jurassic succession of Western Sicily (central Mediterranean),"Sulli, A., and F. Interbartolo. “Subaerial Exposure and Drowning Processes in a Carbonate Platform during the Mesozoic Tethyan Rifting: The Case of the Jurassic Succession of Western Sicily (Central Mediterranean).” Sedimentary Geology, vol. 331, Jan. 2016, pp. 63–77. DOI.org (Crossref), https://doi.org/10.1016/j.sedgeo.2015.10.013.",
Tobin,Kenneth J,"Steinhauff, D. Mark; Walker, Kenneth R.","Tennessee, USA",36.416525,-83.30266,,,460.9-451,Ordovician,Late,Carodocian,-,Knox Supergroup,1999,10.1016/S0031-0182(98)00221-1,Ordovician meteoric carbon and oxygen isotopic values: implications for the latitudinal variations of ancient stable isotopic values,"Tobin, Kenneth J., et al. “Ordovician Meteoric Carbon and Oxygen Isotopic Values: Implications for the Latitudinal Variations of Ancient Stable Isotopic Values.” Palaeogeography, Palaeoclimatology, Palaeoecology, vol. 150, no. 3, July 1999, pp. 331–42. ScienceDirect, https://doi.org/10.1016/S0031-0182(98)00221-1.",
Ueno,Katsumi,"Hayakawa, Naoki; Nakazawa, Tsutomu; Wang, Yue; Wang, Xiangdong","Zongdi, China",25.583333,106.333333,,,,Carboniferous,Late,Gzhelian,Yangtze Carbonate Platform,Dian-Qian-Gui Basin,2013,10.1144/SP376.5,"Pennsylvanian–Early Permian cyclothemic succession on the Yangtze Carbonate Platform, South China","Ueno, Katsumi, et al. “Pennsylvanian–Early Permian Cyclothemic Succession on the Yangtze Carbonate Platform, South China.” Geological Society, London, Special Publications, vol. 376, no. 1, Jan. 2013, pp. 235–67. DOI.org (Crossref), https://doi.org/10.1144/SP376.5.",
Ueno,Katsumi,"Hayakawa, Naoki; Nakazawa, Tsutomu; Wang, Yue; Wang, Xiangdong","Zongdi, China",25.583333,106.333333,,,298.9-273.01,Permian,Early,Cisuralian,Yangtze Carbonate Platform,Dian-Qian-Gui Basin,2013,10.1144/SP376.5,"Pennsylvanian–Early Permian cyclothemic succession on the Yangtze Carbonate Platform, South China","Ueno, Katsumi, et al. “Pennsylvanian–Early Permian Cyclothemic Succession on the Yangtze Carbonate Platform, South China.” Geological Society, London, Special Publications, vol. 376, no. 1, Jan. 2013, pp. 235–67. DOI.org (Crossref), https://doi.org/10.1144/SP376.5.",
Varga,Andrea,"Szakmány, György; Raucsik, Béla","Kan, Hungary",46.150778,17.962361,,,,Paleogene,Eocene,-,-,Szentlorinc Fmt,2002,10.1556/AGeol.45.2002.3.6,Micromorphology and mineralogy of the Eocene calcrete gravel from the Mecsek Mountains (S Hungary),"Varga, A., et al. “Micromorphology and Mineralogy of the Eocene Calcrete Gravel from the Mecsek Mountains (S Hungary).” Acta Geologica Hungarica, vol. 45, no. 3, 2002, pp. 287–99. Scopus, Scopus, https://doi.org/10.1556/AGeol.45.2002.3.6.",
Vieira,Marcela Marques,"De Ros, Luiz Fernando","Natal, Brazil",-5.842072,-35.185004,,,,Quaternary,Pleistocene-Holocene,-,-,Potiguar Basin,2006,10.1016/j.sedgeo.2006.04.011,Cementation patterns and genetic implications of Holocene beachrocks from northeastern Brazil,"Vieira, Marcela Marques, and Luiz Fernando De Ros. “Cementation Patterns and Genetic Implications of Holocene Beachrocks from Northeastern Brazil.” Sedimentary Geology, vol. 192, no. 3–4, Dec. 2006, pp. 207–30. DOI.org (Crossref), https://doi.org/10.1016/j.sedgeo.2006.04.011.",
Watts,Nigel R.,-,"Hogklint, Sweden",57.594073,18.191463,,,438.5-427.4,Silurian,Middle,-,Hogklint Formation,Gotland Sweden,1982,-,"Early Carbonate Fabrics in Silurian Reefs of Gotland, Sweden","Watts, Nigel R. “Early Carbonate Fabrics in Silurian Reefs of Gotland, Sweden: ABSTRACT.” AAPG Bulletin, vol. 66, no. 5, 1982, pp. 640–41.",
Wurm,Detlef,-,"Gosaukamm, Austria",47.504203,13.4903,,,,Triassic,Late,Norian,Dachstein Reef Limestones,Gosaukamm Range,1982,10.1007/BF02536686,"Mikrofazies, Paläontologie und Palökologie der Dachsteinriffkalke (Nor) des Gosaukammes, Österreich","Wurm, Detlef. “Mikrofazies, Paläontologie Und Palökologie Der Dachsteinriffkalke (Nor) Des Gosaukammes, Österreich.” Facies, vol. 6, no. 1, 1982, pp. 203–95. Scopus, Scopus, https://doi.org/10.1007/BF02536686.",
Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang","Central–eastern Ordos Basin, China",38.6297677,108.260556,,,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang","Central–eastern Ordos Basin, China",38.3712165,108.3738305,,,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang","Central–eastern Ordos Basin, China",37.57102513,108.3257314,,,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang","Central–eastern Ordos Basin, China",38.47242138,109.0772238,,,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang","Central–eastern Ordos Basin, China",37.62743796,109.318352,,,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
Yang,Xiyan,"Bao, Hongping; Ren, Junfeng; Ma, Zhangrong","Jinbian county, China",37.59923595,108.7898086,,,,Ordovician,Middle,Darriwilian,Majiagou Formation,Ordos Basin,2017,10.11885/j.issn.1674-5086.2015.09.07.01,"Characteristics and Controlling Factors of Dolomite Reservoirs in the Ma55 Sub-member of Ordovician in Majiagou, Ordos Basin","Yang, Xiyan, et al. “Characteristics and Controlling Factors of Dolomite Reservoirs in the Ma55 Sub-Member of Ordovician in Majiagou, Ordos Basin.” Xinan Shiyou Daxue Xuebao/Journal of Southwest Petroleum University, vol. 39, no. 2, 2017, pp. 27–34. Scopus, Scopus, https://doi.org/10.11885/j.issn.1674-5086.2015.09.07.01.",
Ye,Ning,"Li, Yingtao; Huang, Baiwen; Xi, Binbin; Jiang, Hong; Lu, Ziye; Chen, Qianglu; You, Donghua; Xu, Jin","Shunnan area, Tarim Basin, China",39.11856381,83.93961063,,,477.4-468.1,Ordovician,Early-Middle,Floian-Dapingian,Yijjianfang Formation,Tarim Basin,2022,10.1002/gj.4482,"Hydrothermal silicification and its impact on Lower–Middle Ordovician carbonates in Shunnan area, Tarim Basin, NW China","Ye, Ning, et al. “Hydrothermal Silicification and Its Impact on Lower–Middle Ordovician Carbonates in Shunnan Area, Tarim Basin, NW China.” Geological Journal, vol. 57, no. 9, 2022, pp. 3538–57. Wiley Online Library, https://doi.org/10.1002/gj.4482.",
Zhang,You,"Li, Qiang; Zhu, Kedan; Zheng, Xingping; Lin, Tong; Shao, Guanming; Sun, Haihang; Sun, Tingbin","Gucheng area, eastern Tarim Basin, China",38.2040348,83.50040262,,,480.5-469.5,Ordovician,Early,Floian,Yingshan Formation ,Tarim Basin,2022,10.3969/j.issn.1672-7703.2022.04.013,"Quantitative study on key diagenetic periods of dolomite reservoir based on laser in-situ U-Pb dating and element area scanning: a case study of the Ordovician Yingshan Formation in Gucheng area, eastern Tarim Basin","Zhang, You, et al. “Quantitative Study on Key Diagenetic Periods of Dolomite Reservoir Based on Laser In-Situ U-Pb Dating and Element Area Scanning: A Case Study of the Ordovician Yingshan Formation in Gucheng Area, Eastern Tarim Basin.” China Petroleum Exploration, vol. 27, no. 4, 2022, pp. 181–94. Scopus, Scopus, https://doi.org/10.3969/j.issn.1672-7703.2022.04.013.",Date of filling:  434 Ma ± 15
Zhi-chen,Zhou,"Flugel, Erik","Wanghu, Anhui, China",30.95775102,118.5924126,,,323.40-305.35,Carboniferous,Late,Bashkirian-Kasimovian,Huanglon Formation,-,1986,10.1007/BF02536856,"Carbonate ramp deposition: Middle to upper carboniferous microfacies of Eastern Anhui and Southern Jiangsu, China","Zhi-chen, Zhou, and Erik Flügel. “Carbonate Ramp Deposition: Middle to Upper Carboniferous Microfacies of Eastern Anhui and Southern Jiangsu, China.” Facies, vol. 14, no. 1, Dec. 1986, pp. 201–33. Springer Link, https://doi.org/10.1007/BF02536856.","The paper argues that the epoch of the formation is disputed between Middle and Late Carboniferous, they favor Middle, but this was back in 1986"
Yang,Bao Xing,-,"Dianjiang, China",30.336603,107.277444,,,330.9-323.2,Carboniferous,Middle,-,-,Sichuan Basin,1986,10.1016/0037-0738(86)90063-1,"Diagenetic history and reservoir characteristics of a Middle Carboniferous dolomite reservoir, eastern Sichuan, China","Yang Bao Xing. “Diagenetic History and Reservoir Characteristics of a Middle Carboniferous Dolomite Reservoir, Eastern Sichuan, China.” Sedimentary Geology, vol. 46, no. 3, Feb. 1986, pp. 275–91. ScienceDirect, https://doi.org/10.1016/0037-0738(86)90063-1.",